unique_id,track_id,veh_type,traveled_distance,avg_speed
20181024_d1_0830_0900_0,1,Car,48.85,9.770344
20181024_d1_0830_0900_1,2,Motorcycle,98.09,19.839417
20181024_d1_0830_0900_2,3,Motorcycle,63.8,18.228752
20181024_d1_0830_0900_3,4,Motorcycle,145.72,26.229014
20181024_d1_0830_0900_4,5,Motorcycle,138.01,24.841425
20181024_d1_0830_0900_5,6,Medium Vehicle,159.97,17.451502
20181024_d1_0830_0900_6,7,Motorcycle,153.91,22.895895
20181024_d1_0830_0900_7,8,Car,158.21,21.739084
20181024_d1_0830_0900_8,9,Car,161.01,21.154471
20181024_d1_0830_0900_9,10,Car,159.53,18.891989
20181024_d1_0830_0900_10,11,Car,182.51,18.251311
20181024_d1_0830_0900_11,12,Motorcycle,158.41,22.104237
20181024_d1_0830_0900_12,13,Motorcycle,150.2,23.925733
20181024_d1_0830_0900_13,14,Car,189.93,22.056919
20181024_d1_0830_0900_14,15,Car,214.13,22.672299
20181024_d1_0830_0900_15,16,Motorcycle,238.04,24.624831
20181024_d1_0830_0900_16,17,Motorcycle,130.2,0.572429
20181024_d1_0830_0900_17,18,Medium Vehicle,142.37,9.971513
20181024_d1_0830_0900_18,19,Car,241.54,11.655932
20181024_d1_0830_0900_19,20,Car,225.57,21.71253
20181024_d1_0830_0900_20,21,Car,179.72,19.96924
20181024_d1_0830_0900_21,22,Bus,256.15,22.166647
20181024_d1_0830_0900_22,23,Bus,267.26,28.465902
20181024_d1_0830_0900_23,24,Car,268.07,22.548021
20181024_d1_0830_0900_24,25,Car,333.54,23.180557
20181024_d1_0830_0900_25,26,Car,313.23,33.165511
20181024_d1_0830_0900_26,27,Car,318.05,31.982182
20181024_d1_0830_0900_27,28,Car,339.2,31.800391
20181024_d1_0830_0900_28,29,Motorcycle,367.19,38.878858
20181024_d1_0830_0900_29,30,Motorcycle,349.3,50.704412
20181024_d1_0830_0900_30,31,Car,381.07,28.820679
20181024_d1_0830_0900_31,32,Car,391.3,32.015804
20181024_d1_0830_0900_32,33,Motorcycle,375.58,33.972209
20181024_d1_0830_0900_33,34,Car,419.85,21.592529
20181024_d1_0830_0900_34,35,Car,416.76,20.274803
20181024_d1_0830_0900_35,36,Motorcycle,392.76,34.825792
20181024_d1_0830_0900_36,37,Bus,158.46,17.079537
20181024_d1_0830_0900_37,38,Car,358.27,17.476598
20181024_d1_0830_0900_38,39,Car,372.52,16.354501
20181024_d1_0830_0900_39,40,Car,383.98,16.614463
20181024_d1_0830_0900_40,41,Motorcycle,282.72,22.418229
20181024_d1_0830_0900_41,42,Motorcycle,361.74,37.637358
20181024_d1_0830_0900_42,43,Motorcycle,423.13,41.848151
20181024_d1_0830_0900_43,44,Car,402.49,21.756245
20181024_d1_0830_0900_44,45,Car,354.28,18.116729
20181024_d1_0830_0900_45,46,Car,411.41,21.909637
20181024_d1_0830_0900_46,47,Car,447.53,20.03872
20181024_d1_0830_0900_47,48,Motorcycle,196.29,14.660605
20181024_d1_0830_0900_48,49,Motorcycle,60.09,31.813922
20181024_d1_0830_0900_49,50,Car,425.2,19.278561
20181024_d1_0830_0900_50,51,Motorcycle,259.92,16.358897
20181024_d1_0830_0900_51,52,Car,254.5,22.023772
20181024_d1_0830_0900_52,53,Car,199.92,13.377304
20181024_d1_0830_0900_53,54,Car,127.54,9.686211
20181024_d1_0830_0900_54,55,Car,160.92,11.679452
20181024_d1_0830_0900_55,56,Car,242.95,15.079722
20181024_d1_0830_0900_56,57,Car,302.89,8.42656
20181024_d1_0830_0900_57,58,Car,123.27,9.522898
20181024_d1_0830_0900_58,59,Motorcycle,48.32,8.966502
20181024_d1_0830_0900_59,60,Car,47.42,7.977767
20181024_d1_0830_0900_60,61,Motorcycle,194.91,14.204055
20181024_d1_0830_0900_61,62,Taxi,79.97,22.847876
20181024_d1_0830_0900_62,63,Taxi,289.89,1.867591
20181024_d1_0830_0900_63,64,Bus,456.09,7.993864
20181024_d1_0830_0900_64,65,Taxi,280.45,16.025744
20181024_d1_0830_0900_65,66,Taxi,258.97,11.86113
20181024_d1_0830_0900_66,67,Taxi,185.56,12.058342
20181024_d1_0830_0900_67,68,Taxi,185.13,12.915959
20181024_d1_0830_0900_68,69,Taxi,127.12,10.495797
20181024_d1_0830_0900_69,70,Taxi,442.64,19.918851
20181024_d1_0830_0900_70,71,Heavy Vehicle,151.24,1.495741
20181024_d1_0830_0900_71,72,Taxi,183.52,20.907353
20181024_d1_0830_0900_72,73,Taxi,15.99,13.709574
20181024_d1_0830_0900_73,74,Taxi,434.68,21.26156
20181024_d1_0830_0900_74,75,Taxi,133.2,23.278397
20181024_d1_0830_0900_75,76,Taxi,353.88,31.072162
20181024_d1_0830_0900_76,77,Taxi,295.46,21.796327
20181024_d1_0830_0900_77,78,Taxi,206.77,19.692781
20181024_d1_0830_0900_78,79,Taxi,215.55,26.574647
20181024_d1_0830_0900_79,80,Taxi,222.0,22.323695
20181024_d1_0830_0900_80,81,Taxi,194.4,21.600212
20181024_d1_0830_0900_81,82,Taxi,150.55,22.39556
20181024_d1_0830_0900_82,83,Taxi,74.22,12.145817
